"Do you have any comments regarding the order?","Do you have any comments regarding the order?"
"Enter your comment...","Enter your comment..."
"Order Comment","Order Comment"
"The order comment could not be saved","The order comment could not be saved"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
