"Pronko Bing Ads","Pronko Bing Ads"
"Bing Ads","Bing Ads"
"General Settings","General Settings"
Enabled,Enabled
"Tag ID","Tag ID"
"From the Campaigns page, and then on the left pane, click Conversion Tracking and then paste the ID here.","From the Campaigns page, and then on the left pane, click Conversion Tracking and then paste the ID here."
"Conversion Currency","Conversion Currency"
"The conversion value to be reported based on the conversion currency.","The conversion value to be reported based on the conversion currency."
